hex0,luv0,hex1,luv1,hex2,luv2,hex3,luv3,hex4,luv4
#082611,"[12.469214860878367, -9.213206800466601, 9.077610084951472]",#33462f,"[27.54350811312829, -8.778765336617784, 13.83986189951126]",#835621,"[40.55897460503961, 35.30339809382583, 33.97264315135224]",#3b4032,"[26.235725041591877, -2.015217925791134, 9.024793331806663]",#9e6f40,"[50.697665556731835, 36.00342169173483, 34.961401625443834]"
#082611,"[12.469214860878367, -9.213206800466601, 9.077610084951472]",#a46332,"[48.31984973823596, 50.95246700481063, 36.13163349009579]",#84bb58,"[70.28090853541666, -27.619828745288185, 60.21389815409114]",#7393a5,"[59.185099634383775, -16.624330863474494, -18.421256836886272]",#578f50,"[54.291044008709605, -27.346897168744032, 39.246486195884714]"
#1d201e,"[11.877305195361508, -1.090336641741742, 0.8385553416603879]",#6d2757,"[27.820413516670463, 35.38499448131374, -21.183761028718898]",#67a05d,"[60.61786176280779, -28.1494338905243, 42.1883910642138]",#8b6936,"[46.788949959750866, 26.41563292847149, 35.117318460258936]",#5e6f5f,"[45.0460029580634, -8.551566587653612, 10.293475312093173]"
#1c1911,"[8.84580545145274, 1.3850562975951106, 3.6637978587422206]",#f3deb0,"[89.12659176642411, 15.600774993843524, 35.509484235527744]",#54554b,"[35.77129689232205, -0.03802124806235336, 7.229656667816869]",#ae7f72,"[57.45651711259224, 31.88750732701676, 15.71357981074552]",#8d5a37,"[43.139885041450384, 38.441664561099316, 27.90676057387552]"
#181129,"[6.821550698930262, 0.8168925990765674, -9.610265510727826]",#996d48,"[49.71150675143923, 32.77631100379534, 29.567838380878975]",#610032,"[19.107122276680556, 47.03371962289989, -7.3706432580411105]",#8f8f00,"[57.54473271251612, 4.564384331396818, 63.26385372487839]",#528b50,"[52.77143203939522, -27.580826128719238, 36.76646684013767]"
#e46e2f,"[59.7562376215986, 95.9382631325717, 46.965702827056084]",#273a33,"[22.641179130753663, -8.276930416392256, 3.115955539860722]",#7a7752,"[49.423908850085894, 3.771935907537423, 26.315789556910524]",#97d079,"[77.91667548707701, -28.474124067383645, 55.11963643585832]",#af6f40,"[52.78948828630206, 49.49511874361393, 36.495295436109345]"
#1e4d52,"[29.89357405994906, -17.996533423713352, -7.880705449697382]",#85b321,"[67.52838388828236, -23.103390448228755, 74.0999915802207]",#2a331a,"[19.779455914855326, -3.6133778152158094, 13.76925508736253]",#9fd569,"[79.60158593120757, -26.968963743254402, 66.23398052980804]",#77491a,"[35.52217865973152, 35.64942708379784, 29.77482903763163]"
#4b3f4b,"[28.271253993627205, 5.669467242427347, -7.335671602818073]",#915991,"[45.91968681466989, 27.257733858334078, -35.255131215793654]",#e0b8e0,"[79.3346573744087, 20.274965057356045, -26.230350116680473]",#a56d41,"[51.058597544273454, 42.85246685076456, 34.212058112036644]",#7f9775,"[59.82482914545727, -11.992276883707056, 22.885119521706347]"
#272924,"[16.22841026878887, -0.6989253324394593, 2.8479773157549406]",#abaf95,"[70.51634567073535, -0.96574361229719, 19.13468391270365]",#114142,"[24.617120153185915, -16.530613950333358, -4.3382479812243355]",#75d1c1,"[78.01140886060924, -41.58550276722974, 4.1324459231655615]",#ad6939,"[51.017773556034015, 53.083511480785745, 36.69886341221996]"
#2e3b40,"[23.93047794027678, -6.090417474798629, -4.9506310280476145]",#73726d,"[47.986227115481334, 0.8529320081377963, 3.9587037255661564]",#95d27c,"[78.42497366229397, -30.408405429547557, 54.45917871003015]",#9e8070,"[55.96526580787389, 20.165455967599474, 15.56586624160753]",#a2734c,"[52.359449708855195, 35.13337895203455, 31.27355760649082]"
